date,username,retweets,text,mentions,hashtags
2018-08-09 14:33:31,AnytimeCurry,0,"Easy and Soft Kearala Special Vellayappam. Watch @https://www. youtube.com/CurryAnytime Detailed Recipe : https://www. curryanytime.com/2015/08/appam- vellayappam.html … #KeralaFloods #foodlovers #indianrecipes #foodies #foodporn #foodstagram #indiancooking #indianfoodlovers #CurryAnytime #KeralaRecipes #KeralaSpecials pic.twitter.com/UB8SsoZbVa",@https,#KeralaFloods #foodlovers #indianrecipes #foodies #foodporn #foodstagram #indiancooking #indianfoodlovers #CurryAnytime #KeralaRecipes #KeralaSpecials
2018-08-09 14:29:36,GoNews24x7,4,"Go Headlines Several dead in #Keralafloods and #landslides ; #Opposition rally in #Delhi accuses Centre of being anti-Dalit; #Maharashtra workers strike ends. Download app for more: Android https:// goo.gl/UHjPzE iPhone https:// goo.gl/1E6w8m pic.twitter.com/AHngWZmr53",,#Keralafloods #landslides #Opposition #Delhi #Maharashtra
2018-08-09 14:29:31,CHENNAIWEATHER1,3,"The heavy rain to continue next 24 hours Over #Kerala one or two places of #Idukki #Wayanad #KeralaFloods #keralarains #IdukkiDam #keralarains pic.twitter.com/19G2SJjuna",,#Kerala #Idukki #Wayanad #KeralaFloods #keralarains #IdukkiDam #keralarains
2018-08-09 14:23:29,RevathiRajeevan,1,"Scary visuals from #Kerala . Stay safe people. #KeralaRains #KeralaFloods",,#Kerala #KeralaRains #KeralaFloods
2018-08-09 14:18:13,ANI,49,"There has been unprecedented floods in Kerala since y'day & incessant rains for 2 weeks. It is the biggest rain we had in 50 years.22 people died.Armed forces to fly to Kerala immediately,6 central rescue teams already there.All the dams opened:Union Min KJ Alphons #KeralaFloods pic.twitter.com/HYrRmXmEld",,#KeralaFloods
2018-08-09 14:16:23,SulekshVS,0,"Devastating floods and heavy rains continue in Kerala. Be alert, stay safe, stock drinking water & essentials. Contact the district helpline no.s in case of emergency. #KeralaRains #KeralaFloods pic.twitter.com/PUkCapUZU7",,#KeralaRains #KeralaFloods
2018-08-09 14:12:07,kathirvel_ent,0,"https:// youtu.be/kC8kFGxyobY Idukki dam shutter opening #IdukkiDam #IdukkiDamOpened #Idukki #Kerala #keralarains #KeralaFloods #KeralaRain",,#IdukkiDam #IdukkiDamOpened #Idukki #Kerala #keralarains #KeralaFloods #KeralaRain
2018-08-09 14:11:07,ChennaiRains,9,"#Breaking Muthankera, upstream of #Kabini dam has breached the Highest Flown Level today evening. The heavy #rains over #Wayanad last night now start reaching Kabini dam. #Cauvery inflow into #Mettur will remain high until weekend at least #KeralaFloods pic.twitter.com/XNYLSrKnKN",,#Breaking #Kabini #rains #Wayanad #Cauvery #Mettur #KeralaFloods
2018-08-09 14:10:13,vasudevan49,0,"The latest The vasudevan Daily! https:// paper.li/vasudevan49/13 17218960?edition_id=ecf902e0-9bdd-11e8-aa9b-0cc47a0d15fd … Thanks to @RaghuramanMenon @RoshanSdrprop @TheAshokSingh #keralafloods #trending",@RaghuramanMenon @RoshanSdrprop @TheAshokSingh,#keralafloods #trending
2018-08-09 14:09:44,Rahulrj_offl,0,"• Standing Straight Even In #floods @neymarjr #KeralaFloods pic.twitter.com/9dK6FWpudG",@neymarjr,#floods #KeralaFloods
2018-08-09 14:07:56,Abiiii_07,0,"Started Raining in #palakkad #KeralaFloods",,#palakkad #KeralaFloods
2018-08-09 14:05:33,mayamadhava,2,"Sad to hear about how the floods are affecting the normal life in Kerala, total of 22 dams opened together., Landslides, Floods, No Electricity, Scarcity of Food & Drinking water. I request PM @narendramodi ji to take this issue on priority & help the affected asap #KeralaFloods",@narendramodi,#KeralaFloods
2018-08-09 13:58:40,havocharihara,1,"#KeralaFloods Here's the helpline Number..... Take care Kerala Friends...... Store Drinking water...Since the shortage of drinking water occurred pic.twitter.com/YAkFa7WzN5",,#KeralaFloods
2018-08-09 13:54:54,SkymetWeather,3,"Red Alert sounded for #Kerala 's #Idukki Reservoir as water levels on rise and more showers in the offing. #IdukkiDam #KeralaFloods #KeralaRain @KeralaTourism",@KeralaTourism,#Kerala #Idukki #IdukkiDam #KeralaFloods #KeralaRain
2018-08-09 13:54:21,fx16news,0,"All educational institutions including professional colleges at #Kothamangalam , #Kunnathunad , #Aluva , #Paravur Taluk, and #Kadamakkudy to remain closed tomorrow: District Collector #KeralaFloods",,#Kothamangalam #Kunnathunad #Aluva #Paravur #Kadamakkudy #KeralaFloods
2018-08-09 13:50:55,Paul_Oommen,8,"It is after 26 years that a shutter of the #IdukkiDam opened for trial run as water level rose upto nearly 2399 ft in the reservoir. Only one gate opened up to around 5cm and already severe flooding. #KeralaFloods #StaySafeKerala pic.twitter.com/ynfqqtEp75",,#IdukkiDam #KeralaFloods #StaySafeKerala
2018-08-09 13:44:51,Paul_Oommen,83,"Shutters of Idukky Cheruthony dam opened at 12:30 pm today. Gate to be remain open throughout the night as the water levels of Idukky reservoir is still on the rise. Teams of Army & Navy undertaking rescue operations in North kerala. #KeralaFloods #StaySafeKerala pic.twitter.com/p8bFcpenoB",,#KeralaFloods #StaySafeKerala
2018-08-09 13:36:38,krisdhina,0,"Conditions getting worse stay indoor. Be safe people. #KeralaRains #KeralaFloods",,#KeralaRains #KeralaFloods
2018-08-09 13:31:28,Dott87O,1,"Heavy Rain in Kerela, State Reeling under the Flood. https://www. dott87.online/2018/08/09/hea vy-rain-in-kerela-state-reeling-under-the-flood/ … #KeralaFloods #Kerala #KeralaRains",,#KeralaFloods #Kerala #KeralaRains
2018-08-09 13:23:46,SkymetWeather,5,"#Keralafloods claim 20 lives, #IdukkiDam opens after 26 years. https:// buff.ly/2MeumyP #keralarains #KeralaRain @KeralaTourism",@KeralaTourism,#Keralafloods #IdukkiDam #keralarains #KeralaRain
2018-08-09 13:23:16,VSJ1,0,"Rain will persists in Kerala for another 24 hours due to cyclonic circulation in Arabian Sea !. #KeralaFloods #Maheshpalwat",,#KeralaFloods #Maheshpalwat
2018-08-09 13:16:42,Mpalawat,8,"A #Cyclonic circulation over south East #Arabian Sea will induce heavy #Rains over #Kerala for another 24 hours. Situation may improve thereafter. #KeralaFloods @SkymetWeather",@SkymetWeather,#Cyclonic #Arabian #Rains #Kerala #KeralaFloods
2018-08-09 13:15:19,hussainnellikal,0,"Kerala floods: As per State Emergency Operations Centre, Kerala, heavy rain & landslides killed 22 persons across 5 districts of the state during intervening night of Aug 8 and 9. 11 killed in Idukki, 5 in Malapuram, 1 in Kozidkode, 3 in Wayanad & 2 in Kannur... #KeralaFloods",,#KeralaFloods
2018-08-09 13:13:46,Ahmedshabbir20,10,"Scary pics of floods from Palakkad #PrayForKerala #KeralaFloods #keralaRains https:// twitter.com/dhanyarajendra n/status/1027511927679983617 …",,#PrayForKerala #KeralaFloods #keralaRains
2018-08-09 13:00:19,jioxpressnews,0,"Watch: #IdukkiDam shutter opened after 26 years. http:// tinyurl.com/ybvqayp3 #KeralaFloods #Monsoon2018 #rains #BOATRACE pic.twitter.com/0gXWLKzCUL",,#IdukkiDam #KeralaFloods #Monsoon2018 #rains #BOATRACE
2018-08-09 12:58:58,aash_tvm,0,"The annual #NehruTrophy #boatrace , scheduled to be held at Punnamada Lake in #Alappuzha district on August 11, has been postponed due to floods #kerala #keralafloods",,#NehruTrophy #boatrace #Alappuzha #kerala #keralafloods
2018-08-09 12:52:54,NewIndianXpress,6,"At least 10 dead as heavy rains cause landslide in Kerala's #Idukki . Express photos | A Saneesh. Read the full story here: https:// goo.gl/azHLS5 #KeralaFloods #KeralaRain For more, follow us on Instagram: http:// bit.ly/2OnqxoA pic.twitter.com/nLRtfAiesE",,#Idukki #KeralaFloods #KeralaRain
2018-08-09 12:51:09,FinancialXpress,2,"#KeralaFloods photos: Devastating #images of #KeralaRains and #landslides across #Kerala https://www. financialexpress.com/photos/busines s-gallery/1275458/kerala-rains-photos-devastating-images-of-rainfall-landslides-across-the-state/ … pic.twitter.com/avh05nFtxh",,#KeralaFloods #images #KeralaRains #landslides #Kerala
2018-08-09 12:49:18,PunchapaadamI,0,"District helpline numbers #KeralaFloods #Keralarains @PunchapaadamI pic.twitter.com/Kl7gWlW3h6",@PunchapaadamI,#KeralaFloods #Keralarains
2018-08-09 12:48:53,PratibaRaman,0,"#KeralaFloods claim the lives of 20 https://www. mynation.com/news/kerala-he avy-rains-and-landslide-wash-away-20-pd7223 …",,#KeralaFloods
2018-08-09 12:44:47,arti_ghargi,0,"Stay Safe! #KeralaFloods https:// twitter.com/HWNewsEnglish/ status/1027535895480561665 …",,#KeralaFloods
2018-08-09 12:44:42,akananth,3,"Army has deployed 3 columns of an approximate strength of 75 pers each at Ayannkulu, Idukki & Wayanad. 2 additional columns requisitioned & are moving to Kozhikode & Mallapuram. 3 Engineer Task Force are in the process of getting deployed. | @adgpi #KeralaFloods @OnmanoramaLive",@adgpi @OnmanoramaLive,#KeralaFloods
2018-08-09 12:44:39,writetake,2,"Army has deployed 3 columns of an approximate strength of 75 pers each at Ayannkulu, Idukki & Wayanad. 2 additional columns requisitioned & are moving to Kozhikode & Mallapuram. 3 Engineer Task Force are in the process of getting deployed. | @adgpi #KeralaFloods @OnmanoramaLive",@adgpi @OnmanoramaLive,#KeralaFloods
2018-08-09 12:43:58,arunthefighter,0,"Stay safe from rain @Abiiii_07 @ArsenalKerala @Arsenal_Kerala @KollamNanbans @KeralaVijayFC @TEAM_KERALAVFC @AnoopVjFan #keralarains #KeralaFloods @IndianWeather",@Abiiii_07 @ArsenalKerala @Arsenal_Kerala @KollamNanbans @KeralaVijayFC @TEAM_KERALAVFC @AnoopVjFan @IndianWeather,#keralarains #KeralaFloods
2018-08-09 12:43:46,__alter_ego,0,"Dear Friends #RUOK ? #KeralaRain #KeralaFloods",,#RUOK #KeralaRain #KeralaFloods
2018-08-09 12:28:57,iamvml,0,"Please be safe #brothers and #sisters #KeralaFloods #IdikkiDam",,#brothers #sisters #KeralaFloods #IdikkiDam
2018-08-09 12:28:30,Doc_J_,0,"09.08.2018 Highest rainfall data in mm - Palakkad-214.2,Munnar-253.6,Peerumedu-255,Mananthavady-305,Nilambur-398. Nilambur- 398 mm rainfall in one day Remember annual rainfall is about 3000 mm. #keralarains #Kerala #KeralaFloods",,#keralarains #Kerala #KeralaFloods
2018-08-09 12:28:11,DigitalLYFstyle,0,"RT https:// twitter.com/aseemkujur/sta tus/1027530882293358593 … RT @alexariyazz : An email address is like a customer’s “digital fingerprint”.- http://www. emfinity.in / #digitalmarketing #twittermarketing @msdhoni #KeralaFloods #emf … pic.twitter.com/sT98A2seFr",@alexariyazz @msdhoni,#digitalmarketing #twittermarketing #KeralaFloods #emf
2018-08-09 12:27:57,iampravichand,159,"The fury of #Nature . Bharatapuzha river flowing over the iconic and ever busy Pattambi bridge. #keralarains #KeralaFloods #Kerala pic.twitter.com/xHNnc1uBBA",,#Nature #keralarains #KeralaFloods #Kerala
2018-08-09 12:25:11,dbpostnews,0,"Massive landslide and flood claim 22 lives in #Kerala #HeavyRains #KeralaFloods #Idukkidam #Cochinairport http:// dbpost.com/massive-landsl ide-and-flood-claim-22-lives-in-kerala/ …",,#Kerala #HeavyRains #KeralaFloods #Idukkidam #Cochinairport
2018-08-09 12:23:47,aseemkujur,0,"RT @alexariyazz : An email address is like a customer’s “digital fingerprint”.- http://www. emfinity.in / #digitalmarketing #twittermarketing @msdhoni #KeralaFloods #emfinity #emfinity_cbe @Emfinity_IT #heavyrain #Sterlite #Marina4Kalaingar #Trisha #HBDHans … pic.twitter.com/jHLjaiz7Cr",@alexariyazz @msdhoni @Emfinity_IT,#digitalmarketing #twittermarketing #KeralaFloods #emfinity #emfinity_cbe #heavyrain #Sterlite #Marina4Kalaingar #Trisha #HBDHans
2018-08-09 12:21:58,KhanOnline20,0,"#AdaniAanganPanvel is an #upcoming project which soon in the position of #ReadytoMove will offers soon 1 to 3 BHK #Flats .Explore:- https://www. facebook.com/adaniaanganpan vel/ … #Kamariya #ArunJaitley #KeralaFloods #ImranKhanPrimeMinister #shivratri pic.twitter.com/h6klEqTQXI",,#AdaniAanganPanvel #upcoming #ReadytoMove #Flats #Kamariya #ArunJaitley #KeralaFloods #ImranKhanPrimeMinister #shivratri
2018-08-09 12:20:43,TrendsChennai,0,"#keralafloods is now trending in #Chennai https://www. trendsmap.com/r/IN_CHE_ixjijv pic.twitter.com/YAjmMIpMnW",,#keralafloods #Chennai
