,date,username,retweets,text,mentions,hashtags
62,11/11/2018 13:07,rajbhagatt,132,Satellite images show that most lakes/dams in North TN are either empty or having enough cushion to hold flood waters. CycloneGaja should not be equated with Keralafloods. We face other types of risks! Legend: Red-empty lake beds Blue-water Based on images from.twitter.com/kHBAKv9LtW,@CopernicusEUpic,#CycloneGaja #Keralafloods
63,11/3/2018 13:33,SimmiAhuja_,147,When India cant take help/ funds from for KeralaFloods disaster then how can we take donation from Britain for Statue Building?  â¦,@UN @INCIndia @RahulGandhi @ShashiTharoor,#KeralaFloods
65,10/20/2018 17:35,ShivAroor,229,"Just bumped into Capt P. Rajkumar of the â the hero Sea King pilot who created a new record during the KeralaFloods, rescuing 26 people in a single helicopter sortie. Rockstar aviator. pic.twitter.com/Bynlfk5Eyl",@IndianNavy,#KeralaFloods
66,10/15/2018 12:00,MoviePlanet8,165,Kerala Top Opening Weekend Grossers - (Direct Telugu Movies) AravindhaSametha - â¹5.62L (4 Days) BharatAneNenu - â¹5.51L (3 Days) GeethaGovindam - â¹5L (5 Days) - * KeralaFloods Peak Time Katamarayudu - â¹4.8L (3 Days).twitter.com/dLFuvH28Nw,@TrendsNTR @RaaviNtr @HanuNTR @AndhraBoxOfficepic,#AravindhaSametha #BharatAneNenu #GeethaGovindam #KeralaFloods #Katamarayudu
67,10/13/2018 6:49,CBN_ARMY,721,Srikakulam District in the state of AndhraPradesh is badly effected due to CycloneTitli. Can't we create an Payment channel in for Cyclone Titli Relief Fund. We are requesting to help the needy as like in KeralaFloods..twitter.com/vq8IeEV2xK,@Paytm @vijayshekhar @ncbn @naralokesh @AndhraPradeshCMpic,#AndhraPradesh #CycloneTitli #KeralaFloods
68,10/12/2018 12:42,CherylAnnCouto,34,"This is a appreciation tweet. I am thrown by her relentless hard workâright from the KeralaFloods to MeToo now, and the equanimity and compassion that shape her leadership.",@TheRestlessQuil,#KeralaFloods #MeToo
69,10/4/2018 9:21,ckvineeth,42,"Heroes, warriors or champions; call them what you want. Tomorrow, we salute them and we play for them. Kudos to the management for showing why this team is for the people! KeralaFloods KERMUM â¦",@KeralaBlasters,#KeralaFloods #KERMUMhttps
73,9/18/2018 14:37,SadhguruJV,1576,Heartening to see the continuous work & commitment of volunteers to bring normalcy back in Kerala. Much remains to be done to rebuild God's own country. -Sg KeralaFloods pic.twitter.com/y3rYkhluEn,@ishafoundation,#KeralaFloods
76,9/15/2018 17:36,INCIndia,478,"""As we learn lessons from this disaster on how to work more respectfully with nature, we must also persevere to ensure that our countrymen do not fall further prey to preventable & treatable diseases."" writes on the aftermath of KeralaFloods http://www.newindianexpress.com/cities/kochi/2018/sep/14/life-after-flood-time-for-redemption-1871988.html â¦",@rajeevgowda,#KeralaFloods
77,9/15/2018 17:29,kadakampalli,116,1st chartered flight after the dreadful KeralaFloods have arrived at Kochi today. gave a warm welcome to our guests who have arrived from Australia . We are hoping for a great start to the season. Bring back the Kerala glory! RebuildKerala KeralaLeadspic.twitter.com/Cz4JN3TPZu,@KeralaTourism,#KeralaFloods #Australia #Kerala #RebuildKerala #KeralaLeadspic
81,9/14/2018 7:04,mssirsa,55,No one is talking any more about helping KeralaFloods Victims But look at the volunteers of - they are still working relentlessly; accumulating things and support from people and sending it to Kerala! Well done bothers We all are so proud of youpic.twitter.com/bu5zpcx47D,@Khalsa_Aid,#KeralaFloods
82,9/13/2018 12:20,IPS_Association,70,"Sri Sudeep Lakhtakia, DG National Security Guards (NSG) along with other officers today presented a cheque worth Re 1,01,48,077 to Hon Home Minister Sri as a contribution towards PM Relief Fund for KeralaFloods..twitter.com/wrfCIXRgnV",@rajnathsingh @PMOIndia @HMOIndiapic,#KeralaFloods
83,9/13/2018 4:57,aruna_sekhar,172,"What the KeralaFloods revealed: Indiaâs disaster relief funding is a mess, purse strings tightly held at the Centre. No funds to rebuild or mitigate, while pet schemes and states get the most relief. My story for. RebuildKeralahttp://huffp.st/WwRSKha",@HuffPostIndia,#KeralaFloods #RebuildKeralahttp
86,9/10/2018 21:23,ShashiTharoor,235,Denial of refunds by to passengers unable to travel because of the KeralaFloods is a cruel joke on the public. Trust will overrule this mindless decision by mean-spirited officials!  â¦,@indianrailway__ @PiyushGoyal,#KeralaFloods
87,9/10/2018 14:43,Khalsa_Aid,310,Kerala Floods The media maybe even gone silent but our team of volunteers are working 24hours in floods hit Kerala ! Thank you for your support KeralaFloods.twitter.com/Jz8PE0UfIH,@thetribunechdpic,#Kerala #KeralaFloods
90,9/7/2018 9:07,ShashiTharoor,85,"W/ the amazing young people of â¦â¦©âs EatAtTrivandrum group who collected food from restaurants&dispatched it to victims of the KeralaFloods, organised social media networks to coordinate assistance&went to the most difficult areas themselves. Proud of you all! pic.twitter.com/RhUsEXau4N",@facebook,#KeralaFloods
95,9/5/2018 12:05,Khalsa_Aid,60,Kerala Floods : Our volunteers are continuing to support those who have been affected by the KeralaFloods. We have so far had over 400 tonnes of relief material donated by Indian public. Kerala.twitter.com/KMqzW0XJLQ,@CMOKerala @RaviSinghKApic,#KeralaFloods #Kerala
