,date,username,retweets,text,mentions,hashtags
604,8/19/2018 14:43,sureshpprabhu,90,Status update on KeralaFloodRelief operations from. KeralaFloods pic.twitter.com/zTneFKDoFQ,@MoCA_GoI,#KeralaFloodRelief #KeralaFloods
611,8/19/2018 14:04,CMOMaharashtra,1274,Another 30 ton relief material dispatched to Kerala this evening from Mumbai Airport through Indian Airforce flight for KeralaFloods affected persons and 5 ton more relief material would be sent tomorrow morning with the help of Indian Airforce..twitter.com/lTraR3JQvH,@IAF_MCCpic,#KeralaFloods
615,8/19/2018 12:59,BussyAnand,314,Karunagappally (Kollam) ThalapathyVMIMembers Collects And Hand Over Flood Relief Materials To Flood Affecters. KeralaFloodRelief KeralaFloods pic.twitter.com/l4RPZOvKxX,@actorvijay @Jagadishbliss @RIAZtheboss,#ThalapathyVMIMembers #KeralaFloodRelief #KeralaFloods
617,8/19/2018 12:50,IPS_Association,1025,Some photos which demonstrate incredible commitment of PoliceinKeralaFloods. We salute you. Keralafloods KeralaFloodRelief.twitter.com/EfeDFcass6,@TheKeralaPolice @thebetterindia @LogicalIndians @SrBachchan @akshaykumar @ajaydevgnpic,#PoliceinKeralaFloods #Keralafloods #KeralaFloodRelief
618,8/19/2018 12:50,CMOfficeAssam,139,CM Shri expressed grief at the loss of lives & large scale damage to property due to KeralaFloods and announced Rs 3 crore financial assistance to the Govt of Kerala for rescue & relief operations.,@sarbanandsonwal @CMOKerala @vijayanpinarayi,#KeralaFloods
619,8/19/2018 12:44,mallucomrade,218,The Sikh community has always been in the forefront when it comes to helping people. known for their humanitarian work for refugees across the world have set up a 'langar' in Kochi and are providing food to KeralaFloods victims. Thank you. Heartfelt gratitude pic.twitter.com/Z0eNyJv8JA,@Khalsa_Aid,#KeralaFloods
622,8/19/2018 12:19,prabodhpg,176,"Kerala doctor postpones his marriage which was scheduled for today & moves to relief camp for treating flood victims, salutes Dr. Arun WeShallOvercome KeralaFloods pic.twitter.com/7UJqXmLi9C",@unnis_m @NSMlive @JPNadda,#WeShallOvercome #KeralaFloods
624,8/19/2018 12:17,eOrganiser,201,"""Muhurtam Jwalitam Shreya..."" Tearful tributes to SevaBharati Karyakartas who have sacrificed their lives during rescue operations KeralaFloods Reportedly around 5 Karyakartas from different parts of the state, have lost their lives pic.twitter.com/NCinZpkEsD",@RSSorg,#SevaBharati #KeralaFloods
630,8/19/2018 11:17,Uppolice,298,. OP Singh appeals to entire UPPolice to voluntarily donate one day salary for KeralaReliefFund Keralafloods pic.twitter.com/vZ7tuGaHwJ,@dgpup,#UPPolice #KeralaReliefFund #Keralafloods
631,8/19/2018 11:15,ranjini_basu,230,"Listen to the migrantworkers , from Bengal, Bihar, Orissa, Assam who have lost all their belongings and savings in KeralaFloods. Immediate need for free SpecialTrains to take them back home. and other state governments please act.pic.twitter.com/C37jonI74i",@MamataOfficial,#migrantworkers #KeralaFloods #SpecialTrains
641,8/19/2018 9:50,harisree_18,50,This is what you call Swachh Bharath... Hats off to the people there KeralaFloods.twitter.com/myUzaujEWp,@swachhbharatpic,#KeralaFloods
642,8/19/2018 9:48,PIB_India,76,"KeralaFloods: carried out massive rescue operation in flood affected areas of Dist Alleppey & Pittanamthita from 15 Aug till date & have rescued over 2000 stranded people from buildings/houses or villages, innundated by flood water . Rescue operations are still onpic.twitter.com/KiXmmIJACU",@ITBP_official,#KeralaFloods
643,8/19/2018 9:47,BussyAnand,312,Helpings Provided By Alappuzha ThalapathyVMIMembers For People Affected By Flood. KeralaReliefFund KeralaFloods pic.twitter.com/sHMgMZ85Ky,@actorvijay @Jagadishbliss @RIAZtheboss,#ThalapathyVMIMembers #KeralaReliefFund #KeralaFloods
647,8/19/2018 9:22,CMOMaharashtra,199,CM appeals everyone to come forward and stand firm with citizens of Kerala and contribute  KeralaReliefFund KeralaFloods pic.twitter.com/VAwQgZTpos,@Dev_Fadnavis,#KeralaReliefFund #KeralaFloods
649,8/19/2018 9:04,BussyAnand,355,Changanasserry ( Kottayam - Kerala ) ThalapathyVMIMembers Collects and Hand over Food Items To People Who Affected By Flood In Kerala. KeralaReliefFund KeralaFloods pic.twitter.com/xZ3Ku5RCtZ,@actorvijay @Jagadishbliss @RIAZtheboss,#ThalapathyVMIMembers #KeralaReliefFund #KeralaFloods
653,8/19/2018 8:14,DefenceMinIndia,620,Update KeralaFloodRelief efforts: Indian Armed Forces continue to work tirelessly in the relief operation. Below table shows the additional personnel and assets deployed today morning for rescue and relief operations in KeralaFloods.twitter.com/Kc4TgwtVNZ,@nsitharamanpic,#KeralaFloodRelief #KeralaFloods
654,8/19/2018 8:06,IPS_Association,247,IPS officer . coordinating relief efforts in Kerala. All hands on deck. Stop not till the goal is reached KeralaFloods PoliceinKeralaFloods KeralaFloodRelief KeralaReliefFund KeralaRainsHelppic.twitter.com/Ay0TyykVym,@karthikeyangips,#IPS #Kerala #KeralaFloods #PoliceinKeralaFloods #KeralaFloodRelief #KeralaReliefFund #KeralaRainsHelppic
660,8/19/2018 7:41,BDUTT,1250,Community Kitchen at Naval Base Kochi feeding 7000 people daily ... - so many heroes of compassion and courage . keralafloods pic.twitter.com/CVvbdmpwC9,@indiannavy,#keralafloods
663,8/19/2018 7:31,Khalsa_Aid,517,"Kerala Floods : We are responding ""We are facing huge challenges as more heavy rains are forecast in Kerala and the flood waters are rising."" Amarpreet Singh, Khalsa Aid India. We are despatching another team from Panjab to Kerala. KeralaFloods skynewspic.twitter.com/At4WmwsRUh",@amarpreet1313,#Kerala #KeralaFloods #skynewspic
664,8/19/2018 7:30,IYC,292,IYC National Vice President Shri. urges each and everyone of you to contribute in sending some relief material to the people of Kerala who are affected by severe floods. KeralaFloods pic.twitter.com/JduLfbsWsx,@srinivasiyc,#KeralaFloods
669,8/19/2018 6:58,ManobalaV,274,Young Tiger has announced â¹25 Lakhs and has announced â¹10 Lakhs towards Kerala CM's Distress Relief Fund. Wonderful gesture KeralaFloods KeralaFloods2018 KeralaFloodRelief,@tarak9999 @NANDAMURIKALYAN,#KeralaFloods #KeralaFloods2018 #KeralaFloodRelief
673,8/19/2018 6:40,SuriyaFansClub,123,â¢ TNPraysForKerala Design by | KeralaFloods DoForKerala.twitter.com/B1JHihHYc8,@Naveenk997 @Suriya_offl @rajsekarpandianpic,#TNPraysForKerala #KeralaFloods #DoForKerala
682,8/19/2018 6:04,jiteshpillaai,106,Owing to the tragedy in kerala actor called off his marriage two days back. He says celebrations can wait. Thereâs a time and place for everything. Heâs busy withrelief activities in his hometown. My heart goes out to the braveheart couple. keralafloods pic.twitter.com/cL9JWFSkkn,@Rajeev_gpillai,#keralafloods
688,8/19/2018 5:31,Indulekha_A,127,"Not just tempos, SUVs and trucks, everyone's doing their bit - this auto sign says income from today's trips will go to flood relief fund KeralaFloodRelief KeralaFloods ..twitter.com/dCCU7DZLxe",@CarDroidusMaxpic,#KeralaFloodRelief #KeralaFloods
691,8/19/2018 5:22,nsitharaman,405,Sharing summary of total air deployment details. KeralaFloods.twitter.com/ar4z4cOiYe,@IAF_MCC @CMOKerala @the_hindu @MalayalaManorma @ManoramaTweets @mathrubhuminews @DDNewsLive @ddmalayalampic,#KeralaFloods
692,8/19/2018 5:19,nsitharaman,391,Sharing some deployment details for today KeralaFloods.twitter.com/4VI5b1HXx5,@CMOKerala @the_hindu @MalayalaManorma @ManoramaTweets @mathrubhuminews @DDNewsLive @ddmalayalampic,#KeralaFloods
700,8/19/2018 4:52,rajeev_mp,133,Dear - i hv recd many complaints of sharp increases/PriceGouging in Airticket prices in n out of Kerala n Mangalore Pls look into it urgently n intervene URGENTLY if true ! Copy : KeralaFloods KodaguFloods,@jayantsinha @sureshpprabhu @PMOIndia,#Kerala #Mangalore #KeralaFloods #KodaguFloods
707,8/19/2018 4:08,DDNewsLive,317,"Indian Air Force rescues an infant from a house and hands over the rescued baby to the mother, in flood-affected Alappuzha district of Kerala OpKaruna KeralaFloodRelief KeralaFloods pic.twitter.com/1s9Y2EY1v9",@IAF_MCC,#OpKaruna #KeralaFloodRelief #KeralaFloods
711,8/19/2018 2:57,PreetiSMenon,78,"After severe criticism of how Kerala was being mistreated by the centre, finally got its act together. BJP states contributed yesterday. And now IT cell is out there trying to get credit for the rescue operations. SouthRemembers KeralaFloods",@BJP4India,#SouthRemembers #KeralaFloods
712,8/19/2018 2:49,Waseem_Ahmed11,144,Powerful picture of an footballer Joby Justin collecting money from fans to help those affected by floods in his home state Kerala. This not only restores our faith in humanity but also shows us how beautiful Football can be. More than just a game. KeralaFloods pic.twitter.com/kuNkpBVYXN,@eastbengalfc,#KeralaFloods
717,8/19/2018 2:24,PonnaarrBJP,90,Salute to Indian Army. Indian Army rescues an infant from a house in flood-hit Kerala KeralaFloods.twitter.com/tHbmC97zdi,@adgpi @SpokespersonMoD @DefenceMinIndia @DDNewsLivepic,#KeralaFloods
721,8/19/2018 1:15,Hariindic,199,This s our PM ji... I had different opinions but assure you that most likely we won't get a hardworking like him again.. KeralaFloods pic.twitter.com/9BhF0yEkLl,@narendramodi @PMOIndia,#KeralaFloods
722,8/18/2018 23:44,RaviSinghKA,56,"""Nanak Naam Chardi Kalan Teray Bhanay Sarbat Da Bhalla.."" Proud of our volunteers who are carrying out amazing Seva in floods hit Kerala ! Thank you guys KeralaFloods pic.twitter.com/8czh1PtzIV",@Khalsa_Aid,#Kerala #KeralaFloods
724,8/18/2018 23:17,ByRakeshSimha,833,"""We will physically beat back anyone who comes to our area to implement this report."" - This is the attitude of MLA PC George of the Syro-Malabar Catholic Church, Kerala's largest Christian group, towards GadgilReport. KeralaFloods  â¦",@INCIndia,#GadgilReport #KeralaFloods
725,8/18/2018 23:07,Khalsa_Aid,759,Kerala Floods UPDATE: Our amazing volunteers are expanding the hot meals program to reach many more who are affected by the KeralaFloods ! Kerala.twitter.com/5221ZOmHsv,@CMOKerala @harbhajan_singhpic,#KeralaFloods #Kerala
726,8/18/2018 22:22,ByRakeshSimha,48,"KollurMookambika Temple donates Rs 1 Cr to Kerala flood relief. You will never see churches, mosques donate during calamities or wars. In 1962 China War, Guruvayur Temple donated huge quantity of gold. In 1980s transferred Rs10 Cr to pay govt salaries. KeralaFloods pic.twitter.com/GjMmvEb9Ce",@INCIndia,#KollurMookambika #KeralaFloods
731,8/18/2018 19:48,jiteshpillaai,63,Popular malayalam actor whoâs carrying out relief work and helping out...urging people to leave homes before water levels rise further and move to safe places keralafloods pic.twitter.com/Hqju8zkNPA,@ttovino,#keralafloods
732,8/18/2018 19:30,filmykiida,122,"This is absolutely amazing! Well done! Deserve all the appreciation and applause. Kudos to you! Needless to say, that will be very proud of you for this contribution. KeralaFloods  â¦",@SRKUniverse @iamsrk,#KeralaFloods
740,8/18/2018 18:53,siddarthpaim,339,Lot of Propaganda that other ruled states are not helping Kerala in this hour of grief KeralaFloods .But it's untrue. Nation is with Kerala. pic.twitter.com/1MHVkPrBoF,@BJP4India,#Kerala #KeralaFloods
742,8/18/2018 18:35,ZeeNews,30,"Kerala braces for more rain, red alert continues in 11 districts, launches biggest ever rescue ops KeralaFloods http://zeenews.india.com/india/kerala-braces-for-more-rain-red-alert-continues-in-11-districts-ndrf-launches-biggest-ever-rescue-ops-2134135.html â¦",@NDRFHQ,#KeralaFloods
749,8/18/2018 17:43,sneheshphilip,138,The goal is rescue. team making their way to reach marooned people at Puthukkulangara Devi temple area and rescue them to safety. keralafloods pic.twitter.com/ny5ca2QEh9,@IndiaCoastGuard,#keralafloods
753,8/18/2018 17:12,shreeDut050896,1086,Hanan Hamid Few days ago social media trolled this girl for her selling fish 2 earn livelihood. It was who met her n encouraged. Today dat girl donated 1.5lakhs from her profit n savings in flood relief. StandWithKerala KeralaFloods KeralaFloodReliefpic.twitter.com/2urpmHnLzq,@vijayanpinarayi,#StandWithKerala #KeralaFloods #KeralaFloodReliefpic
754,8/18/2018 17:10,SaanjuS,115,Scens from my native district Pathanamthitta. Karyakarthas are actively involving with rescue operation at Chenganoor area. KeralaFloods RSSinAction IndiaForKeralapic.twitter.com/BSV8eduKVv,@RSSorg,#Chenganoor #KeralaFloods #RSSinAction #IndiaForKeralapic
755,8/18/2018 17:06,FilmyYash,103,"Main akela hi chala tha jaanib-e-manzil magar, log saath aate gaye aur karwaan banta gaya. Love you all. Thank you for everything. Keralafloods  â¦",@Maishaan,#Keralafloods
757,8/18/2018 17:00,CensorReports,417,Superstar donating 25 Lakhs to the Kerala CM Relief Fund. KeralaFloods,@urstrulyMahesh,#KeralaFloods
760,8/18/2018 16:52,BineeshBala2,362,"KeralaFloods KeralaFloodRelief Relief Camps are facing shortage of Drinking Water, Sanitary Pads, Baby Diapers etc .As per below there are 2 trucks coming frm Bnglor and Chennai to Kerala tmrw. if you could sharepic.twitter.com/8uOnIhfXfs",@AnjaliMenonFilm,#KeralaFloods #KeralaFloodRelief
763,8/18/2018 16:31,JayasreeVijayan,170,The President His Highness Sheikh Khalifa bin Zayed Al Nahyan has instructed the formation of a national emergency committee to provide relief assistance to people affected by flash floods in the Indian state of Kerala. KeralaFloods http://m.khaleejtimes.com/news/government/uae-leaders-/order-emergency-committee-to-provide-relief-to-kerala â¦,@ShashiTharoor,#KeralaFloods
767,8/18/2018 16:14,mallucomrade,743,"@mathrubhuminews is reporting that our fishermen rescued more than 1 lakh people from KeralaFloods These fishermen are the real heroes here! Even damage to their boats, their only source of livelihood, didn't stop them from going beyond the call of duty.",@mathrubhuminews,#KeralaFloods
770,8/18/2018 16:01,ArunachalCMO,115,Arunachal Pradesh Chief Minister announces â¹3 crore as immediate assistance from Chief Ministerâs Relief Fund for the Kerala flood and expressed solidarity with the people in Kerala in this trying time. KeralaFloods,@Pemakhandubjp,#KeralaFloods
771,8/18/2018 15:58,DefenceMinIndia,141,Update on KeralaFloodRelief efforts: 23 fixed-wing military transport aircraft and 46 helicopters from Indian Armed Forces have been deployed for swift transportation of rescue materials and airlifting of rescued persons from flood-affected areas. KeralaFloods.twitter.com/DLu0qI63PE,@nsitharamanpic,#KeralaFloodRelief #KeralaFloods
772,8/18/2018 15:54,DefenceMinIndia,95,"Update KeralaFloodRelief efforts: 243 motorised & 7 non-motorised boats from , & have been deployed in the flood-affected areas of Kerala along w/ Armed Forces personnel for movement of citizens to safer locations. KeralaFloods.twitter.com/1rlRSMNqnG",@adgpi @indiannavy @IndiaCoastGuard @nsitharamanpic,#KeralaFloodRelief #KeralaFloods
774,8/18/2018 15:50,DefenceMinIndia,217,"Update KeralaFloodRelief efforts: ,, & continue rescue & relief work in Kerala on war footing. Following tables shows the overall deployment by the armed forces as on date. KeralaFloods.twitter.com/lE3GAdJKHy",@adgpi @IAF_MCC @indiannavy @IndiaCoastGuard @nsitharamanpic,#KeralaFloodRelief #KeralaFloods
779,8/18/2018 15:26,IndianInterest,194,"Here's an Indian Navy WS-61 anti-submarine warfare helicopter undertaking a hazardous rescue during the KeralaFloods. Countless sorties carried out. These choppers should be out at sea, tracking Chinese subs & keeping India safe. Stop lying & maligning India,.pic.twitter.com/qKZ7XMDoYo",@annavetticad,#KeralaFloods
780,8/18/2018 15:24,ShashiTharoor,472,"As I tweeted yesterday ( â¦), it's for the Govt of India to decide whether it needs help, which many in Kerala feel is needed. is directly handling the KeralaFloods &can judge whether it needs additional resources from outside.  â¦",@UN @PMOIndia,#KeralaFloods
783,8/18/2018 15:14,MANJULtoons,157,KeralaFloodRelief My cartoon for Details: http://bit.ly/2OHU7p1 KeralaFloods Kerala KeralaFloodpic.twitter.com/AIQYhMR4RI,@firstpost,#KeralaFloodRelief #cartoon #KeralaFloods #Kerala #KeralaFloodpic
784,8/18/2018 15:05,iFaridoon,103,. has made a contribution to Chief Ministers Distress Relief Fund. Great initiative. More stars should come forward. Awareness creation can be a big thing. And it needs to be relentless. More rains are expected. MUCH MORE needs to be done!!! KeralaFloods pic.twitter.com/SzUmYFL2Gw,@akshaykumar,#KeralaFloods
788,8/18/2018 14:33,connectgurmeet,281,"Great Seva by India volunteers in Kerala ! They r working wid Gurdwara Shri Guru singh Sabha Kochi, cooking n serving hot meals to those affected. To DONATE to Kerala Floods Relief :  â¦ Pl spread d word. KeralaFloods KeralaRescue pic.twitter.com/nKBVqekL5W",@KhalsaAid,#KeralaFloods #KeralaRescue
794,8/18/2018 14:21,RaviSinghKA,90,Kerala Floods.... Our volunteers are serving hot meals to those affected by KeralaFloods ....great coordination by ! â¦,@amarpreet1313 @RandeepHoodahttps,#KeralaFloods
795,8/18/2018 14:18,Khalsa_Aid,624,KERALA FLOODS: Our volunteers are providing hot food for over 2000 people affected by the KeralaFloods ! We will be setting up another food kitchen too. To DONATE:  â¦.twitter.com/Ps2F31lFKw,@CMOKerala @thetribunechd @theindianexprespic,#KeralaFloods
809,8/18/2018 13:13,sureshpprabhu,157,"In view of disruption of flights from Cochin airport due to floods, a joint team sent by has approved starting of scheduled commercial flights using ATRs by Alliance Air, a subsidiary of Air India, between Bangalore and Cochin Naval Air base. KeralaFloods",@MoCA_GoI,#KeralaFloods
812,8/18/2018 13:04,V6_Suresh,470,Mega family announced donations to KeralaFloodRelief MegastarChiranjeevi - Rs 25 Lakh Mega power star RamCharan - Rs 25 Lakh - Rs 10 Lakh worth medicines Chiranjeevi's mother AnjanaDevi - Rs 1 Lakh.. Total 61 lakhs. KeralaFloods,@upasanakonidela,#KeralaFloodRelief #MegastarChiranjeevi #RamCharan #Chiranjeevi #AnjanaDevi #KeralaFloods
814,8/18/2018 12:44,VijayFansTrends,347,Thiruvananthapuram Peroorkada Area Committee Thalapathy Fans Collects and Hand over Flood Relief Materials To Flood Affecters. KeralaFloods KeralaFloodReliefpic.twitter.com/q0X9oER1Uu,@actorvijay,#KeralaFloods #KeralaFloodReliefpic
821,8/18/2018 12:02,rajini_mano,76,Superstar donated 15 Lakhs to KeralaFloods . V fans r doing what v can. I personally donated 5000. From our apartment one truck load is leaving to Kerala through Rapid Action Force tomrw morning . Even if itâs 100 pls do it guys. Itâs not money but d heart matters,@rajinikanth,#KeralaFloods
822,8/18/2018 11:59,RBSIRAJINI,87,Superstar Rajinikanth donated Rs.15 lakhs towards the relief fund for the people who are affected by the KeralaFloods.twitter.com/zeIKlSe6Ly,@rajinikanth @soundaryaarajni @karthiksubbaraj @anirudhofficial @ThanthiTV @RIAZtheboss @dhanushkrajapic,#Superstar #Rajinikanth #KeralaFloods
824,8/18/2018 11:47,RIAZtheboss,257,"With the floods resulting in a lot of devastation in Kerala, the locals are struggling to survive without proper basic amenities for them. Superstar Rajinikanth donated Rs.15 lakhs towards the relief fund for the people who are affected by the KeralaFloods",@rajinikanth,#Kerala #Superstar #Rajinikanth #KeralaFloods
826,8/18/2018 11:46,dgpup,1464,Deeply saddened by the loss of valuable lives & mass destruction caused by the Kerala Floods. prays for the safety & well being of people of Kerala in this hour of grief. I appeal to all UPPolice Personnel to voluntarily donate 1 day salary for KeralaFloods relief.,@UPPolice,#KeralaFloods
829,8/18/2018 11:42,RavinderRawat_H,256,"I am divyang student nd I have donate â¹1800 my divyang pension in CM'S Relief Fund. now it's ur turn.... Your help can rebuild the lives of the affected people.... They need your support, please help them. Donate4Kerala KeralaFloods pic.twitter.com/Bvyb82Ez2H",@DrKumarVishwas @narendramodi,#Donate4Kerala #KeralaFloods
832,8/18/2018 11:32,CMMadhyaPradesh,543,Under the leadership of Chief Minister State Govt. has released Rs. 10 Crores as assistance for flood-hit Kerala. KeralaFloods,@ChouhanShivraj,#KeralaFloods
840,8/18/2018 10:57,PIB_India,109,KeralaFloodRelief : is actively contributing to relief during Keralafloods and has supplied 2.8 Lakhs litres of drinking water & 1 lakh bottles of water are on their way. pic.twitter.com/E91LGwqyMh,@RailMinIndia,#KeralaFloodRelief #Keralafloods
847,8/18/2018 10:37,ImRaina,1482,"Stay Strong Kerala, entire nation is with you! I strongly urge you all to do your bit and support people of Kerala in this extremely terrible time KeralaReliefFunds StandwithKerala KeralaFloods.twitter.com/nQTtI2KU83",@CMOKeralapic,#KeralaReliefFunds #StandwithKerala #KeralaFloods
849,8/18/2018 10:17,iAkshaysKhiladi,41,Many celebrities only share kerala flood helpline number on social media meanwhile donated 25L to KeralaFloods victims & 2nd instalment is yet to go whereas he has nothing to do with kerala also during Chennai floods Akshay donated 1cr Man with golden heart,@akshaykumar,#KeralaFloods
854,8/18/2018 9:58,MrsGandhi,508,Maharashtra CM announces â¹20 crores as immediate assistance for KeralaFloods. Maharashtra Govt is in constant touch with Kerala Govt for their requirements & any support. CM has appealed for contribution in all possible ways to help our fellow citizens.,@Dev_Fadnavis,#KeralaFloods
855,8/18/2018 9:45,PIB_India,31,"PM announced ex-gratia of Rs. 2 lakh per person to the next kin of the deceased & Rs. 50,000 to those seriously injured from PMâs National Relief Funds (PMNRF)  KeralaFloods pic.twitter.com/JAEUfoL35M",@narendramodi,#KeralaFloods
857,8/18/2018 9:28,DefenceMinIndia,257,Update KeralaFloodRelief efforts: Material and equipment crucial for rescue and relief operations in KeralaFloods provided and additional personnel deployed today morning. Indian Armed Forces continue to work tirelessly in the relief operation. IndiaForKerala.twitter.com/cDTe1ij1hD,@nsitharamanpic,#KeralaFloodRelief #KeralaFloods #IndiaForKerala
859,8/18/2018 9:24,Amitjanhit,58,DCW donating one month salary for KeralaFloods. Donate4Keralapic.twitter.com/5k67xkeoea,@SwatiJaiHind,#KeralaFloods #Donate4Keralapic
860,8/18/2018 9:20,ChandrakalaIas,249,KeralaFloodRelief KeralaFloods Please help & support..twitter.com/OEqXd44ypk,@CMOKeralapic,#KeralaFloodRelief #KeralaFloods
862,8/18/2018 9:14,Bollyhungama,298,". , , , âs PROMPT GOLDEN HEARTED gesture for Kerala! KeralaFloods KeralaFloodReliefhttp://www.bollywoodhungama.com/news/features/akshay-kumar-amitabh-bachchan-shah-rukh-khan-sonam-kapoor-ar-rahman-vidya-balans-prompt-golden-hearted-gesture-kerala/ â¦",@akshaykumar @SrBachchan @iamsrk @sonamakapoor @arrahman @vidya_balan,#Kerala #KeralaFloods #KeralaFloodReliefhttp
863,8/18/2018 9:13,Raghav461,123,"The central government is doing it's best. Now we will know how much work has been done by the various governments in Kerala, says Dr Subramanian on KeralaFloods pic.twitter.com/ovvpM8qB7e",@Swamy39,#KeralaFloods
866,8/18/2018 9:06,AamAadmiParty,584,"""All AAP MLAs, MPs and ministers donating one month salary for KeralaFloods""- Donate4Keralapic.twitter.com/Fjmzzo4t3c",@ArvindKejriwal,#KeralaFloods #Donate4Keralapic
867,8/18/2018 9:03,rajeev_mp,151,Am overwhelmed by outpouring of support from so many ppl donating money n material - Thank u to all those who hv DMd msgd me aftr donating KodaguFloods KeralaFloods Visuals of ppl donating material to AsianetNewsNetworkpic.twitter.com/ys6CTXUNlh,@asianetnewstv @suvarnanewstv,#KodaguFloods #KeralaFloods #AsianetNewsNetworkpic
871,8/18/2018 8:55,drshamamohd,99,"Kerala has incurred damages worth Rs 19,512 cr, as informed by to PM Modi. PM has given Rs 500 cr as aid. This is grossly inadequate to tackle a natural disaster of this magnitude. Why doesn't the PM declare KeralaFloods as a national disaster? KeralaSOS",@CMOKerala,#Kerala #Modi #KeralaFloods #KeralaSOS
872,8/18/2018 8:43,nsitharaman,447,"http://Hon.MP wrote an email, for urgent intervention for addl.helicopters & more army deployment. My reply, âwe are giving everything that the state government is asking for. Without hesitation or delay. Be assured.â KeralaFloods",@ksureshmp @CMOKerala @PIBTvpm,#KeralaFloods
874,8/18/2018 8:40,aruna_sekhar,209,"Editor-in-chief of a news portal reporting on ground in the middle of a disaster, besides upping relief info. Follow if you don't already. More power to women ground-zero reporters like her and. KeralaFloods  â¦",@dhanyarajendran @SnehaMKoshy,#KeralaFloods
876,8/18/2018 8:25,SadhguruJV,2337,Very pained to know about the loss of lives and mass destruction wreaked by the KeralaFloods. is ready and willing to support in whatever way possible. - Sg IndiaForKerala SOSKerala,@IshaFoundation @CMOKerala,#KeralaFloods #IndiaForKerala #SOSKerala
881,8/18/2018 8:12,thebetterindia,66,Kudos to the amazing people working tirelessly on ground zero to save animals who have no way out in the ongoing disaster! -  KeralaFloods KeralaFloodRelief KeralaFloodRelief Kerala.twitter.com/gqIKFGHt0Z,@CMOKeralapic,#KeralaFloods #KeralaFloodRelief #KeralaFloodRelief #Kerala
891,8/18/2018 7:33,sachin_rt,2038,"Respect and deep admiration for the,, and other rescue forces in Kerala. Your consistent and remarkable display of courage and compassion is an inspiration to us all. God bless! KeralaFloods KeralaFloodRescue â¦",@IAF_MCC @indiannavy @adgpi,#KeralaFloods #KeralaFloodRescuehttps
896,8/18/2018 7:23,sneheshphilip,263,"The Indian Army's 13 Garhwal Rifles under 91 Brigade rescued patients, nurses and doctors from Muthoot hospital in Kozhincherry two days back. They wrote to the men thanking them KeralaFloods.twitter.com/kP9hRd6aGl",@adgpipic,#KeralaFloods
897,8/18/2018 7:22,AfcKerala,47,All Kerala Ajith Fans Eranakulam district committee members going to KeralaFloods shelter camp Aluva UC college with one Load sanitary Napkins. Great work by and Friends DoForKerala KeralaFloodRelief StandWithKeralapic.twitter.com/PVzTdkXUTQ,@Romariolalettan,#KeralaFloods #DoForKerala #KeralaFloodRelief #StandWithKeralapic
900,8/18/2018 7:12,rajeev319,208,"Hey rowdy bro & ee weekend me movie ki veldam anukuna but keralafloods chusaka me acting chudadam konchem late Aina parledu help chedam anipinchindi, anyway congrats for the blockbuster taxiwala bagunte chustale KeralaFloodReliefpic.twitter.com/REoekjiftx",@TheDeverakonda @iamRashmika @GeethaArts,#keralafloods #blockbuster #taxiwala #KeralaFloodReliefpic
901,8/18/2018 7:07,TeamAFK1,99,â¢ No words for this immediate help from KeralaFloods KeralaSOSpic.twitter.com/iXoB2MwPrs,@Suriya_offl,#KeralaFloods #KeralaSOSpic
912,8/18/2018 6:36,UNinIndia,127,Important helpline numbers via KeralaFloodRelief KeralaFloods KeralaRescue KeralaFloods2018 Keralapic.twitter.com/AG6vMuSZhM,@ndmaindia,#KeralaFloodRelief #KeralaFloods #KeralaRescue #KeralaFloods2018 #Keralapic
914,8/18/2018 6:20,PIB_India,90,"PM in an aerial survey, assessing the damages caused by floods in some of the affected areas of Kerala. The Prime Minister assures his support to the State Government in all its endeavours to meet the challenges of the unprecedented situation. Keralafloods pic.twitter.com/SJj36FmG5D",@narendramodi,#Keralafloods
916,8/18/2018 6:09,excomradekerala,704,"KeralaFloods Army cannot be given full control, says state secretary Balakrishnan. Somebody should enlighten this bastard about the procedures. Commies are playing petty politics in the front of disaster pic.twitter.com/WqWOHGSXWg",@cpimspeak,#KeralaFloods
917,8/18/2018 6:04,PIB_India,137,"PM in an aerial survey, assessing the damages caused by floods in some of the affected areas of Kerala. The Prime Minister expresses his grief and sorrow on the unfortunate deaths and damage to lives and property due to floods. Keralafloods pic.twitter.com/4hLwTWk8Tg",@narendramodi,#Keralafloods
919,8/18/2018 6:00,atulkasbekar,141,"My DoP, sent me this video from Kerala Apart from the human casualties and the property loss the ecological damage due to KeralaFloods is beyond words Look at how an entire section of forest is wiped out in seconds along wt the fertile top soil Tragic pic.twitter.com/U8V3ijgst1",@alphonseroy,#KeralaFloods
920,8/18/2018 5:55,AAP_Prabhakar,244,Hello I will Donate Rs 5 per RT & Rs 8 per followers for KeralaFloods in next 24 Hours. Lets Help Our Country Men facing the Wrath of Nature in Kerala. KeralaDonationChallenge Donate4Kerala â¦,@verified @Twitter @ArvindKejriwal @msisodia @CMOKerala,#KeralaFloods #KeralaDonationChallenge #Donate4Keralahttps
921,8/18/2018 5:55,DDNewsLive,527,"PM announces financial assistance of Rs 500 cr for KeralaFloods; ex-gratia of Rs 2 lakh per person to next kin of the deceased and Rs 50,000 for seriously injured person from Prime Minister's National Relief Fund pic.twitter.com/lREhZPHrHB",@narendramodi,#KeralaFloods
